row	trigger	variant	occurences
8	Guglielmo di Nassau	Guglielmo de Nassau	09x1
8	Guglielmo di Nassau	Guglielmo di Nansau	08x1
8	conte Guglielmo suo figlio	conte Guglielmo suo figliolo	08x1
13	vescovo di Paterborn	vescovo di Paterbon	07x1
14	duca di Nevers	duca di Nivers	11x1
15	Massimiliano	Massimilia	11x1
18	duca di Guisa	duca di Guesa	07x1
19	cardinal Lodovisio	card(ina)l Lodovisio	10x1
20	cardinal Lodovisio	card(ina)l Lodovisio	10x1
21	Pontefice	Pontifice	09x1
23	Stotemburgh	Stotenburgh	12x1
24	governator di Berghem Opensoom	governator di Berghem Opsoon	07x1
28	conte Ernesto di Nassau	conte Ernesto di Nasau	06x1
38	elettor di Magonza	elettore di Magonza	08x1
38	elettor di Magonza	elettore di Magonza	10x1
50	ambasciator Trivisano	ambasciator Trivesano	09x1
50	ambasciator Trivisano	ambasciator Trivisiano	09x1
50	eccellentissimo Trivisano	eccellentissimo Trevisano	09x1
68	Proveditore	Proveditor	02x1
68	Proveditore	Proveditor	04x1
71	Ambasciator inglese estraordinario	Ambasciator inglese straordinario	08x1
73	ambasciatore di Francia	ambasciator de Francia	12x1
73	ambasciatore di Francia	ambasciator di Francia	02x2
73	ambasciatore di Francia	ambasciator di Francia	03x12
73	ambasciatore di Francia	ambasciator di Francia	04x4
73	ambasciatore di Francia	ambasciator di Francia	05x5
73	ambasciatore di Francia	ambasciator di Francia	06x9
73	ambasciatore di Francia	ambasciator di Francia	07x3
73	ambasciatore di Francia	ambasciator di Francia	08x10
73	ambasciatore di Francia	ambasciator di Francia	09x16
73	ambasciatore di Francia	ambasciator di Francia	10x12
73	ambasciatore di Francia	ambasciator di Francia	11x10
73	ambasciatore di Francia	ambasciator di Francia	12x38
73	ambasciatore di Francia	ambasciatore in Francia	03x3
73	ambasciatore di Francia	ambasciatore in Francia	10x1
73	ambasciatore di Francia	ambasciatore in Francia	11x1
73	ambasciatore di Francia	ambasciatori di Francia	03x2
73	ambasciatore di Francia	ambasciatori di Francia	04x13
73	ambasciatore di Francia	ambasciatori di Francia	05x1
73	ambasciatore di Francia	ambasciatori di Francia	07x14
73	ambasciatore di Francia	ambasciatori di Francia	08x1
73	ambasciatore di Francia	ambasciatori di Francia	09x6
73	ambasciatore di Francia	ambasciatori di Francia	10x7
73	ambasciatore di Francia	ambasciatori di Francia	11x3
73	ambasciatore di Francia	ambasciatori di Francia	12x2
73	ambasciatore di Francia	ambasciatori Francia	04x1
73	ambasciatore di Francia	ambasciatore di Franza	02x1
73	ambasciatore di Francia	ambasciatore di Franza	08x1
83	duca di Naiburgh	duca di Noilburgh	06x1
84	Cardinal di questo nome	Cardinale di questo nome	08x1
85	monsignor della Rosciafocò	signor della Rosciafocò	03x1
89	Antonio Liguri dal Zanthe	Antonio Ligori dal Zanthe	04x1
90	Famars	Farmars	11x1
93	Schiaveliski	Schiavelski	04x1
95	conte di Oldemburgh	conte di Oldembourgh	04x2
95	conte di Oldemburgh	conte di Oldemburgo	12x2
95	conte di Oldemburgh	conte di Oldenburgh	04x1
96	governator di Usdem	governator di Husdem	12x1
116	monsignor Milander	signor Milander	09x2
116	monsignor Milander	signor Milander	10x1
116	monsignor Milander	monsignor Milaender	09x1
116	monsignor Milander	monsignor Miler	12x1
116	Pietro Milander	Pieter Milander	09x1
117	Steven Koop	Steven Coop	06x1
123	Rochus Pieterssen Doesen	Rochus Pietersen Doesen	04x1
124	Willem Pieterssen	Willem Pietersen	04x1
138	Baglioni	Baglione	11x1
139	monsignor Coulena	monsignor Gulena	03x8
139	monsignor Coulena	monsignor Gulena	04x1
144	capitan Mutoni	capitan Mutonis	04x2
144	capitan Mutoni	capitan Muthoni	04x1
144	capitan Mutoni	capitan Mestoni	04x1
144	capitan Mutoni	capitan Muttoni	04x1
144	capitan Mutoni	capitan Metoni	09x1
144	capitan Mutoni	capitan Mettoni	04x3
144	capitan Mutoni	capitan Mutonio	04x3
144	Metoni	Mettoni	04x9
144	Metoni	Mettoni	05x1
144	capitano Mutonis	capitano Mettonis	04x1
147	Durante di Prigni	Durante di Prignì	03x1
148	capitan Pach	capitani Pach	09x2
148	capitan Pach	capitano Pach	04x2
148	capitan Pach	capitano Pach	07x1
148	capitan Pach	capitano Pach	08x8
148	capitan Pach	capitano Pach	09x1
148	capitan Pach	capitan Pack	06x1
153	conte di Lip	conte di Le	04x1
157	capitan Turnon	capitan Tornon	11x1
157	capitan Turnon	capitan Tournon	11x1
