filza	page	status	trans	scan
02	071r	OK	yes	yes
02	071v	OK	yes	yes
02	072r	OK	yes	yes
02	072v	OK	yes	yes
02	073r	OK	yes	yes
02	073v	OK	yes	yes
02	074r	OK	yes	yes
02	074v	OK	yes	yes
02	075r	OK	yes	yes
02	075v	OK	yes	yes
02	076r	OK	yes	yes
02	076v	OK	yes	yes
02	077r	OK	yes	yes
02	077v	OK	yes	yes
02	078r	OK	yes	yes
02	078v	OK	yes	yes
02	079r	OK	yes	yes
02	079v	OK	yes	yes
02	080r	OK	yes	yes
02	080v	OK	yes	yes
02	081r	OK	yes	yes
02	081v	OK	yes	yes
02	082r	OK	yes	yes
02	082v	OK	yes	yes
02	083r	OK	yes	yes
02	083v	OK	yes	yes
02	084r	OK	yes	yes
02	084v	OK	yes	yes
02	085r	OK	yes	yes
02	085v	OK	yes	yes
02	086r	OK	yes	yes
02	086v	OK	yes	yes
02	087r	OK	yes	yes
02	087v	OK	yes	yes
02	088r	OK	yes	yes
02	088v	OK	yes	yes
02	089r	OK	yes	yes
02	089v	OK	yes	yes
02	090r	OK	yes	yes
02	090v	OK	yes	yes
02	091r	OK	yes	yes
02	091v	OK	yes	yes
02	092r	OK	yes	yes
02	092v	OK	yes	yes
02	093r	OK	yes	yes
02	093v	OK	yes	yes
02	094r	OK	yes	yes
02	094v	OK	yes	yes
02	095r	OK	yes	yes
02	095v	OK	yes	yes
02	096r	OK	yes	yes
02	096v	OK	yes	yes
02	097r	OK	yes	yes
02	097v	OK	yes	yes
02	098r	OK	yes	yes
02	098v	OK	yes	yes
02	099r	OK	yes	yes
02	099v	OK	yes	yes
02	100r	OK	yes	yes
02	100v	OK	yes	yes
02	101r	OK	yes	yes
02	101v	OK	yes	yes
02	102r	OK	yes	yes
02	102v	OK	yes	yes
02	103r	OK	yes	yes
02	103v	OK	yes	yes
02	104r	OK	yes	yes
02	104v	OK	yes	yes
02	105r	OK	yes	yes
02	105v	OK	yes	yes
02	106r	OK	yes	yes
02	106v	OK	yes	yes
02	107r	OK	yes	yes
02	107v	OK	yes	yes
02	108r	OK	yes	yes
02	108v	OK	yes	yes
02	109r	OK	yes	yes
02	109v	OK	yes	yes
02	110r	OK	yes	yes
02	110v	OK	yes	yes
02	111r	OK	yes	yes
02	111v	OK	yes	yes
02	112r	OK	yes	yes
02	112v	OK	yes	yes
02	113r	OK	yes	yes
02	113v	OK	yes	yes
02	114r	OK	yes	yes
02	114v	OK	yes	yes
02	115r	OK	yes	yes
02	115v	OK	yes	yes
02	116r	OK	yes	yes
02	116v	OK	yes	yes
02	117r	OK	yes	yes
02	117v	OK	yes	yes
02	118r	OK	yes	yes
02	118v	OK	yes	yes
02	119r	OK	yes	yes
02	119v	OK	yes	yes
02	120r	OK	yes	yes
02	120v	OK	yes	yes
02	121r	OK	yes	yes
02	121v	OK	yes	yes
02	122r	OK	yes	yes
02	122v	OK	yes	yes
02	123r	OK	yes	yes
02	123v	OK	yes	yes
02	124r	OK	yes	yes
02	124v	OK	yes	yes
02	125r	OK	yes	yes
02	125v	OK	yes	yes
02	126r	OK	yes	yes
02	126v	OK	yes	yes
02	127r	OK	yes	yes
02	127v	OK	yes	yes
02	128r	OK	yes	yes
02	128v	OK	yes	yes
02	129r	OK	yes	yes
02	129v	OK	yes	yes
02	130r	OK	yes	yes
02	130v	OK	yes	yes
02	131r	OK	yes	yes
02	131v	OK	yes	yes
02	132r	OK	yes	yes
02	132v	OK	yes	yes
02	133r	OK	yes	yes
02	133v	OK	yes	yes
02	134r	OK	yes	yes
02	134v	OK	yes	yes
02	135r	OK	yes	yes
02	135v	OK	yes	yes
02	136r	OK	yes	yes
02	136v	OK	yes	yes
02	137r	OK	yes	yes
02	137v	OK	yes	yes
02	138r	OK	yes	yes
02	138v	OK	yes	yes
02	139r	OK	yes	yes
02	139v	OK	yes	yes
02	140r	OK	yes	yes
02	140v	OK	yes	yes
02	141r	OK	yes	yes
02	141v	OK	yes	yes
02	142r	OK	yes	yes
02	142v	OK	yes	yes
02	143r	OK	yes	yes
02	143v	OK	yes	yes
02	144r	OK	yes	yes
02	144v	OK	yes	yes
02	145r	OK	yes	yes
02	145v	OK	yes	yes
02	146r	OK	yes	yes
02	146v	OK	yes	yes
02	147r	OK	yes	yes
02	147v	OK	yes	yes
02	148r	OK	yes	yes
02	148v	OK	yes	yes
02	149r	OK	yes	yes
02	149v	OK	yes	yes
02	150r	OK	yes	yes
02	150v	OK	yes	yes
02	151r	OK	yes	yes
02	151v	OK	yes	yes
02	152r	OK	yes	yes
02	152v	OK	yes	yes
02	153r	OK	yes	yes
02	153v	OK	yes	yes
02	154r	OK	yes	yes
02	154v	OK	yes	yes
02	155r	OK	yes	yes
02	155v	OK	yes	yes
02	156r	OK	yes	yes
02	156v	OK	yes	yes
02	157r	OK	yes	yes
02	157v	OK	yes	yes
02	158r	OK	yes	yes
02	158v	OK	yes	yes
02	159r	OK	yes	yes
02	159v	OK	yes	yes
02	160r	OK	yes	yes
02	160v	OK	yes	yes
02	161r	OK	yes	yes
02	161v	OK	yes	yes
