file	width	height
02_0001_coperta	4192	5571
02_0002_sn	3958	5486
02_0003_sn	3953	5486
02_0004_sn	3914	5486
02_0005_sn	3997	5486
02_0006_sn	3914	5486
02_0409_sn	3579	5286
03_0001_coperta	4136	5493
03_0002_sn	4250	5514
03_0003_sn	4161	5514
03_0004_sn	3654	5200
03_0005_sn	3807	5200
03_0006_sn	3654	5200
03_0667_sn	3535	5371
04_0001_coperta	6477	4570
04_0810_sn	2973	4067
05_0001_coperta	6078	4362
05_0690_sn	2694	4026
06_0001_coperta	6360	4560
06_0002_001-r	3263	4200
06_0003_001-v	3341	4173
06_0688_sn	2805	4002
07_0001_coperta	8488	5632
07_0002_sn	3984	5536
07_0631_sn	3992	5568
08_0001_coperta	6456	4720
08_0990_sn	2625	3892
08_0991_sn	2625	3892
08_0992_sn	2625	3892
08_0993_sn	2625	3892
08_0994_sn	2625	3892
08_0995_sn	2625	3892
08_0996_sn	2625	3892
09_0001_coperta	8504	5976
09_0946_sn	3880	5504
09b_0001_coperta	4429	5678
09b_0002_sn	3745	5428
09b_0003_sn	3745	5428
09b_0004_sn	3807	5429
09b_0005_sn	3733	5429
09b_0006_sn	4100	5392
09b_0193_sn	4036	5642
10_0001_coperta	6766	4538
10_1063_sn	3543	4067
11_0001_coperta	6365	4613
11_1118_sn	3064	4200
12_0001_coperta	6180	4146
12_0930_sn	2736	3792
