file	width	height
02_071r	3703	5421
02_071v	3738	5421
02_072r	3687	5421
02_072v	3730	5421
02_073r	3695	5421
02_073v	3750	5421
02_074r	3675	5421
02_074v	3744	5421
02_075r	3681	5421
02_075v	3750	5421
02_076r	3675	5421
02_076v	3754	5421
02_077r	3671	5421
02_077v	3764	5421
02_078r	3700	5750
02_078v	3642	5786
02_079r	3834	5786
02_079v	3650	5786
02_080r	3729	5357
02_080v	5357	3765
02_081r	3797	5357
02_081v	3823	5357
02_082r	3739	5357
02_082v	3825	5357
02_083r	3737	5357
02_083v	3776	5357
02_084r	3729	5357
02_084v	3760	5357
02_085r	3745	5357
02_085v	3784	5357
02_086r	3721	5357
02_086v	3798	5357
02_087r	3707	5357
02_087v	3780	5357
02_088r	3725	5357
02_088v	3754	5357
02_089r	3751	5357
02_089v	3722	5357
02_090r	4828	5329
02_090v	3808	5372
02_091r	3803	5372
02_091v	3790	5336
02_092r	3785	5336
02_092v	3774	5350
02_093r	3801	5350
02_093v	3792	5350
02_094r	3783	5350
02_094v	3780	5350
02_095r	3795	5350
02_095v	3792	5350
02_096r	3783	5350
02_096v	3776	5350
02_097r	3799	5350
02_097v	5350	3784
02_098r	3791	5350
02_098v	3792	5350
02_099r	3783	5350
02_099v	3784	5350
02_100r	3791	5350
02_100v	3768	5350
02_101r	3807	5350
02_101v	3750	5350
02_102r	3825	5350
02_102v	3758	5350
02_103r	3817	5350
02_103v	3772	5350
02_104r	3803	5350
02_104v	3766	5350
02_105r	3809	5350
02_105v	3742	5350
02_106r	3833	5350
02_106v	3744	5350
02_107r	3831	5350
02_107v	3742	5350
02_108r	3833	5350
02_108v	3724	5350
02_109r	3851	5350
02_109v	3720	5350
02_110r	3855	5350
02_110v	3737	5350
02_111r	4003	5350
02_111v	3930	5371
02_112r	3989	5371
02_112v	3928	5371
02_113r	3991	5371
02_113v	5285	3740
02_114r	3636	5285
02_114v	3723	5285
02_115r	3653	5285
02_115v	3691	5285
02_116r	3685	5285
02_116v	3727	5285
02_117r	3649	5285
02_117v	3722	5285
02_118r	3654	5285
02_118v	3652	5285
02_119r	3667	5285
02_119v	3654	5285
02_120r	3665	5285
02_120v	3668	5285
02_121r	3651	5285
02_121v	3650	5285
02_122r	3669	5285
