page	rotation
02_001r	0
02_001v	0
02_002r	0
02_002v	0
02_003r	0
02_003v	0
02_004r	0
02_004v	0
02_005r	0
02_005v	0
02_006r	0
02_006v	0
02_007r	0
02_007v	0
02_008r	0
02_008v	0
02_009r	0
02_009v	0
02_010r	0
02_010v	0
02_011r	0
02_011v	0
02_012r	0
02_012v	0
02_013r	0
02_013v	0
02_014r	0
02_014v	0
02_015r	0
02_015v	0
02_016r	0
02_016v	0
02_017r	0
02_017v	0
02_018r	0
02_018v	0
02_019r	0
02_019v	0
02_020r	0
02_020v	0
02_021r	0
02_021v	0
02_022r	0
02_022v	0
02_023r	0
02_023v	0
02_024r	0
02_024v	0
02_025r	0
02_025v	0
02_026r	0
02_026v	0
02_027r	0
02_027v	0
02_028r	0
02_028v	0
02_029r	0
02_029v	0
02_030r	0
02_030v	0
02_031r	0
02_031v	0
02_032r	0
02_032v	0
02_033r	0
02_033v	0
02_034r	0
02_034v	0
02_035r	0
02_035v	0
02_036r	0
02_036v	0
02_037r	0
02_037v	0
02_038r	0
02_038v	0
02_039r	0
02_039v	270
02_040r	0
02_040v	0
02_041r	0
02_041v	0
02_042r	0
02_042v	0
02_043r	0
02_043v	0
02_044r	0
02_044v	0
02_045r	0
02_045v	0
02_046r	0
02_046v	270
02_047r	0
02_047v	0
02_048r	0
02_048v	0
02_049r	0
02_049v	0
02_050r	0
02_050v	0
02_051r	0
02_051v	0
02_052r	0
02_052v	0
02_053r	0
02_053v	0
02_054r	0
02_054v	0
02_055r	0
02_055v	0
02_056r	0
02_056v	0
02_057r	0
02_057v	0
02_058r	0
02_058v	270
02_059r	0
02_059v	0
02_060r	0
02_060v	0
02_061r	0
02_061v	0
02_062r	0
02_062v	0
02_063r	0
02_063v	0
02_064r	0
02_064v	0
02_065r	0
02_065v	0
02_066r	0
02_066v	0
02_067r	0
02_067v	0
02_068r	0
02_068v	0
02_069r	0
02_069v	0
02_070r	0
02_070v	0
02_071r	0
02_071v	0
02_072r	0
02_072v	0
02_073r	0
02_073v	0
02_074r	0
02_074v	0
02_075r	0
02_075v	0
02_076r	0
02_076v	0
02_077r	0
02_077v	0
02_078r	0
02_078v	0
02_079r	0
02_079v	0
02_080r	0
02_080v	0
02_081r	0
02_081v	0
02_082r	0
02_082v	0
02_083r	0
02_083v	0
02_084r	0
02_084v	0
02_085r	0
02_085v	0
02_086r	0
02_086v	0
02_087r	0
02_087v	0
02_088r	0
02_088v	0
02_089r	0
02_089v	0
02_090r	0
02_090v	0
02_091r	0
02_091v	0
02_092r	0
02_092v	0
02_093r	0
02_093v	0
02_094r	0
02_094v	0
02_095r	0
02_095v	0
02_096r	0
02_096v	270
02_097r	0
02_097v	0
02_098r	0
02_098v	0
02_099r	0
02_099v	0
02_100r	0
02_100v	0
02_101r	0
02_101v	0
02_102r	0
02_102v	0
02_103r	0
02_103v	0
02_104r	0
02_104v	0
02_105r	0
02_105v	0
02_106r	0
02_106v	0
02_107r	0
02_107v	0
02_108r	0
02_108v	0
02_109r	0
02_109v	0
02_110r	0
02_110v	0
02_111r	0
02_111v	0
02_112r	0
02_112v	0
02_113r	0
02_113v	270
02_114r	0
02_114v	0
02_115r	0
02_115v	0
02_116r	0
02_116v	0
02_117r	0
02_117v	0
02_118r	0
02_118v	0
02_119r	0
02_119v	0
02_120r	0
02_120v	270
02_121r	0
02_121v	0
02_122r	0
02_122v	0
02_123r	0
02_123v	0
02_124r	0
02_124v	0
02_125r	0
02_125v	0
02_126r	0
02_126v	0
02_127r	0
02_127v	0
02_128r	0
02_128v	0
02_129r	0
02_129v	0
02_130r	0
02_130v	0
02_131r	0
02_131v	0
02_132r	0
02_132v	0
02_133r	0
02_133v	0
02_134r	0
02_134v	0
02_135r	0
02_135v	0
02_136r	0
02_136v	0
02_137r	0
02_137v	0
02_138r	0
02_138v	0
02_139r	0
02_139v	0
02_140r	0
02_140v	0
02_141r	0
02_141v	0
02_142r	0
02_142v	0
02_143r	0
02_143v	0
02_144r	0
02_144v	0
02_145r	0
02_145v	0
02_146r	0
02_146v	0
02_147r	0
02_147v	0
02_148r	0
02_148v	0
02_149r	0
02_149v	0
