file	width	height
02_0001_coperta	922	1226
02_0002_sn	871	1207
02_0003_sn	870	1207
02_0004_sn	861	1207
02_0005_sn	879	1207
02_0006_sn	861	1207
02_0409_sn	787	1163
03_0001_coperta	910	1208
03_0002_sn	935	1213
03_0003_sn	915	1213
03_0004_sn	804	1144
03_0005_sn	838	1144
03_0006_sn	804	1144
03_0667_sn	778	1182
04_0001_coperta	1425	1005
04_0810_sn	654	895
05_0001_coperta	1337	960
05_0690_sn	593	886
06_0001_coperta	1399	1003
06_0002_001-r	718	924
06_0003_001-v	735	918
06_0688_sn	617	880
07_0001_coperta	1867	1239
07_0002_sn	876	1218
07_0631_sn	878	1225
08_0001_coperta	1420	1038
08_0990_sn	578	856
08_0991_sn	578	856
08_0992_sn	578	856
08_0993_sn	578	856
08_0994_sn	578	856
08_0995_sn	578	856
08_0996_sn	578	856
09_0001_coperta	1871	1315
09_0946_sn	854	1211
09b_0001_coperta	974	1249
09b_0002_sn	824	1194
09b_0003_sn	824	1194
09b_0004_sn	838	1194
09b_0005_sn	821	1194
09b_0006_sn	902	1186
09b_0193_sn	888	1241
10_0001_coperta	1489	998
10_1063_sn	779	895
11_0001_coperta	1400	1015
11_1118_sn	674	924
12_0001_coperta	1360	912
12_0930_sn	602	834
